𢶶	〔扌心fx〕
𢸌	〔扌巾fj〕
𣘙	〔木⻏me〕
𣮡	〔大毛dm〕
𣮧	〔丷毛bm〕
𤚰	〔牜方nf〕
𤱵	〔龹田jt〕
𥀂	〔土皮tp〕
𦰥	〔艹⻏ce〕
𦾭	〔艹方cf〕
𨢐	〔酉方yf〕
𩋮	〔革寸gc〕
𩍗	〔革万gw〕
𩦠	〔馬刂md〕
𩮗	〔E立el〕
㙅	〔土木tm〕
㙸	〔土夫tf〕
㫧	〔日米om〕
㲏	〔片毛pm〕
㲒	〔句毛jm〕
㵡	〔氵包db〕
㻄	〔𤣩龰wz〕
㿺	〔日皮op〕
䈏	〔竹田vt〕
䎂	〔习包xb〕
䤖	〔酉氺yu〕
䥤	〔金包jb〕
䨌	〔雨元yy〕
䨔	〔雨光yg〕
䪨	〔立勺lu〕
䭋	〔飠木um〕
䳈	〔鳥包nb〕
䳰	〔亻鳥rn〕
䴐	〔宀鳥bn〕
佨	〔亻包rb〕
保	〔亻木rm〕
儤	〔亻氺ru〕
刨	〔包刂bd〕
剝	〔彑刂hd〕
剥	〔彐刂ed〕
勹	〔丿𠃌pv〕
勽	〔勹人br〕
包	〔勹巳bs〕
嚗	〔口氺ku〕
堡	〔亻土rt〕
堢	〔土木tm〕
報	〔土又ty〕
媬	〔女木nm〕
孢	〔子包zb〕
宝	〔宀玉by〕
宲	〔宀木bm〕
寚	〔宀缶bf〕
寳	〔宀貝bb〕
寶	〔宀貝bb〕
忁	〔彳⺢ru〕
怉	〔忄包xb〕
报	〔扌又fy〕
抱	〔扌包fb〕
暴	〔日氺ou〕
曓	〔日本ob〕
曝	〔日氺ou〕
枹	〔木包mb〕
瀑	〔氵氺du〕
炮	〔火包hb〕
煲	〔亻火rh〕
爆	〔火氺hu〕
犦	〔牜氺nu〕
犳	〔犭勺qu〕
珤	〔𤣩缶wf〕
窇	〔宀包bb〕
笣	〔竹包vb〕
緥	〔糹木sm〕
胞	〔⺼包ob〕
苞	〔艹包cb〕
菢	〔艹包cb〕
葆	〔艹木cm〕
蕔	〔艹又cy〕
薄	〔艹寸cc〕
藵	〔艹木cm〕
虣	〔弋几yj〕
蚫	〔虫包ib〕
袌	〔衣包yb〕
裦	〔衣矛ym〕
褒	〔衣木ym〕
褓	〔衤木pm〕
襃	〔衣木ym〕
豹	〔豸勺vu〕
賲	〔亻貝rb〕
趵	〔𧾷勺zu〕
鉋	〔金包jb〕
鑤	〔金氺ju〕
铇	〔钅包jb〕
闁	〔門門mm〕
雹	〔雨包yb〕
靌	〔雨貝yb〕
飹	〔飠卩ue〕
飽	〔飠包ub〕
饱	〔饣包ub〕
駂	〔匕馬bm〕
骲	〔冎包gb〕
髱	〔E包eb〕
鮑	〔魚包yb〕
鲍	〔鱼包yb〕
鳵	〔⺄鳥vn〕
鴇	〔匕鳥bn〕
鸨	〔匕鸟bn〕
齙	〔止包vb〕
龅	〔止包vb〕
𠅬	〔亠又wy〕
𠣒	〔勹二be〕
𠣺	〔冫包db〕
𠤏	〔匕十bu〕
𠹕	〔口勺ku〕
𡂟	〔口包kb〕
𡉩	〔土犬tq〕
𡧖	〔宀木bm〕
𡶄	〔山包ub〕
𢼌	〔包又by〕
𣋳	〔日灬oh〕
𣭀	〔包毛bm〕
𤔣	〔爫又vy〕
𤝧	〔犭勺qu〕
𤞥	〔犭木qm〕
𤿈	〔勺皮up〕
𥄹	〔目包ob〕
𥭓	〔竹勺vu〕
𦡕	〔⺼包ob〕
𦢊	〔⺼氺ou〕
𧘑	〔衤勺pu〕
𧝘	〔衤臼pj〕
𧭤	〔訁氺yu〕
𧵢	〔貝包bb〕
𨇅	〔𧾷氺zu〕
𨚔	〔包⻏be〕
𨠖	〔酉包yb〕
𨰦	〔金貝jb〕
𨰻	〔金金jj〕
𩊅	〔革卩ge〕
𩍂	〔⻖革eg〕
𩛞	〔飠子uz〕
𩬽	〔E木em〕
𩭼	〔E木em〕
𩾡	〔鳥勺nu〕
𩿓	〔鳥牛nn〕
𪏶	〔禾包hb〕
㓈	〔冫石du〕
㔨	〔勹⺝bo〕
㛝	〔女貝nb〕
㣁	〔弓用gy〕
㤳	〔忄口xk〕
㰆	〔𰀉木gm〕
㶔	〔氵大dd〕
㷶	〔亻灬rh〕
㸢	〔片用py〕
㸬	〔牜巾nj〕
㸽	〔牜貝nb〕
㻗	〔非玉fy〕
㼎	〔瓜父gf〕
㽡	〔田十tu〕
㾱	〔疒儿be〕
䁅	〔目皿om〕
䋳	〔糹⺝so〕
䔒	〔艹口ck〕
䠙	〔𧾷方zf〕
䡶	〔車辛ix〕
䩀	〔非貝fb〕
䰽	〔魚巾yj〕
俻	〔亻田rt〕
倍	〔亻口rk〕
偝	〔亻⺝ro〕
偹	〔亻田rt〕
備	〔亻用ry〕
僃	〔亻用ry〕
勃	〔十力ul〕
北	〔{北左}匕lb〕
卑	〔{卑上}十pu〕
备	〔夂田wt〕
孛	〔十子uz〕
庳	〔广十gu〕
悖	〔忄子xz〕
悲	〔非心fx〕
惫	〔夂心wx〕
愂	〔十心ux〕
憊	〔亻心rx〕
揹	〔扌⺝fo〕
昁	〔日巾oj〕
杮	〔木巾mj〕
杯	〔木不mb〕
柸	〔木丕mp〕
桮	〔木口mk〕
梖	〔木貝mb〕
棑	〔木非mf〕
椑	〔木十mu〕
焙	〔火口hk〕
牬	〔牜𠂔nd〕
犕	〔牜用ny〕
狈	〔犭贝qb〕
狽	〔犭貝qb〕
珼	〔𤣩貝wb〕
琲	〔𤣩非wf〕
盃	〔不皿bm〕
碑	〔石十uu〕
碚	〔石口uk〕
禙	〔礻⺝po〕
箄	〔竹十vu〕
糒	〔米用my〕
背	〔北⺝bo〕
臂	〔尸⺝uo〕
苝	〔艹北cb〕
蓓	〔艹口ck〕
藣	〔艹匕cb〕
蛽	〔虫貝ib〕
被	〔衤皮pp〕
褙	〔衤⺝po〕
誖	〔訁子yz〕
諀	〔訁十yu〕
貝	〔目八ob〕
贝	〔冂人kr〕
軰	〔北車bi〕
輩	〔非車fi〕
辈	〔非车fi〕
邶	〔北⻏be〕
郥	〔貝⻏be〕
鄁	〔北⻏be〕
鉳	〔金北jb〕
鋇	〔金貝jb〕
鐾	〔尸金uj〕
钡	〔钅贝jb〕
陂	〔⻖皮ep〕
鞁	〔革皮gp〕
鞞	〔革十gu〕
鞴	〔革用gy〕
骳	〔冎皮gp〕
