滚	12051	gun3	100
呦	12033	you1	100
晚	12001	wan3	100
留	11909	liu2	100
位	11712	wei4	100
晕	11687	yun1	100
风	11658	feng1	100
抽	11552	chou1	100
块	11456	kuai4	100
怪	11445	guai4	100
系	11003	xi4	95
戳	11404	chuo1	100
往	11361	wang3	100
便	11352	bian4	100
楼	11341	lou2	100
党	11324	dang3	100
咬	11323	yao3	100
吹	11315	chui1	100
练	11293	lian4	100
删	11208	shan1	100
早	11203	zao3	100
条	11184	tiao2	100
调	10695	diao4	50
调	10695	tiao2	50
君	10972	jun1	100
丑	10894	chou3	100
件	10873	jian4	100
近	10841	jin4	100
雨	10710	yu3	100
卡	10346	ka3	95
倒	10331	dao3	30
力	10681	li4	100
面	10667	mian4	100
球	10647	qiu2	100
火	10532	huo3	100
爬	10528	pa2	100
脚	10509	jiao3	100
管	10508	guan3	100
偶	10505	ou3	100
尿	9970	niao4	100
填	10495	tian2	100
痛	10491	tong4	100
黄	10482	huang2	100
嘴	10454	zui3	100
戴	10444	dai4	100
情	10391	qing2	100
门	10354	men2	100
好	9592	hao4	1
帖	9028	tie3	95
跪	10326	gui4	100
道	10309	dao4	100
化	10299	hua4	100
旧	10250	jiu4	100
病	10153	bing4	100
搜	10061	sou1	100
冰	10050	bing1	100
短	10002	duan3	100
混	9979	hun4	100
呵	9943	he1	100
指	9931	zhi3	100
翻	9900	fan1	100
排	9854	pai2	100
招	9821	zhao1	100
空	8979	kong1	95
蹭	9610	ceng4	100
嘤	9587	ying1	100
撒	9582	sa3	100
呗	9571	bei5	100
毁	9499	hui3	100
法	9440	fa3	100
马	9432	ma3	100
喊	9327	han3	100
造	9275	zao4	100
测	9170	ce4	100
悲	9102	bei1	100
摆	9078	bai3	100
脸	9043	lian3	100
泡	8630	pao4	96
贴	9013	tie1	100
爪	9007	zhua3	100
配	8980	pei4	100
句	8005	ju4	100
陪	8963	pei2	100
派	8948	pai4	100
乃	8937	nai3	100
首	8930	shou3	100
斤	8921	jin1	100
录	8855	lu4	100
秀	8754	xiu4	100
伤	8750	shang1	100
喽	8749	lou5	100
蓝	8708	lan2	100
及	8705	ji2	100
谢	8675	xie4	100
报	8671	bao4	100
因	8640	yin1	100
查	7794	cha2	100
晒	8580	shai4	100
推	8573	tui1	100
未	8562	wei4	100
款	8534	kuan3	100
定	8501	ding4	100
深	8497	shen1	100
渣	8462	zha1	100
粗	8454	cu1	100
咔	8445	ka1	100
爸	8438	ba4	100
输	8420	shu1	100
床	8415	chuang2	100
碗	8411	wan3	100
外	8389	wai4	100
宅	8384	zhai2	100
熊	8329	xiong2	100
汗	8313	han4	100
搭	8311	da1	100
药	8299	yao4	100
处	7736	chu4	80
感	8276	gan3	100
宫	8260	gong1	100
双	8199	shuang1	100
演	8142	yan3	100
木	8119	mu4	100
粑	8116	ba1	100
班	8034	ban1	100
赚	8029	zhuan4	100
货	8016	huo4	100
倍	7971	bei4	100
拼	7933	pin1	100
灭	2641	mie4	100
嗨	7916	hai1	100
名	7905	ming2	100
棒	7858	bang4	100
王	7844	wang2	100
骑	7841	qi2	100
片	7796	pian4	100
金	7766	jin1	100
茶	7739	cha2	100
台	7526	tai2	100
唉	7721	ai4	100
砸	7719	za2	100
背	7279	bei1	95
气	7650	qi4	100
枪	7640	qiang1	100
间	7218	jian1	95
扔	7602	reng1	100
试	7561	shi4	100
嫁	7550	jia4	100
待	7171	dai4	90
醒	7541	xing3	100
停	7470	ting2	100
树	7464	shu4	100
爽	7461	shuang3	100
切	7148	qie1	90
口	7404	kou3	100
朝	7398	chao2	100
半	7397	ban4	100
鞋	7384	xie2	100
雪	7381	xue3	100
任	7371	ren4	100
摔	7359	shuai1	100
接	7347	jie1	100
操	7322	cao1	100
娶	7315	qu3	100
入	7299	ru4	100
狠	7289	hen3	100
率	6987	lv4	95
挖	7274	wa1	100
烂	7258	lan4	100
滴	7251	di1	100
级	7249	ji2	100
数	6982	shu4	80
乖	7217	guai1	100
达	7212	da2	100
云	7175	yun2	100
冲	7164	chong1	100
共	7119	gong4	100
团	7118	tuan2	100
瓶	7106	ping2	100
踢	7097	ti1	100
硬	7085	ying4	100
魔	7070	mo2	100
妈	7050	ma1	100
嘞	7043	lei5	100
色	7032	se4	100
女	7027	nv3	100
动	7010	dong4	100
干	6949	gan1	20
剪	6986	jian3	100
线	6979	xian4	100
叔	6962	shu1	100
念	6944	nian4	100
表	6920	biao3	100
降	6906	jiang4	100
挑	6896	tiao1	95
致	6890	zhi4	100
槽	6889	cao2	100
满	6871	man3	100
甩	6821	shuai3	100
油	6810	you2	100
皆	6807	jie1	100
捡	6802	jian3	100
省	6796	sheng3	100
八	6772	ba1	100
皮	6767	pi2	100
九	6765	jiu3	100
子	6758	zi3	100
酒	6748	jiu3	100
救	6741	jiu4	100
穷	6730	qiong2	100
亦	6707	yi4	100
忍	6682	ren3	100
妞	6650	niu1	100
反	6631	fan3	100
呜	6628	wu1	100
部	6621	bu4	100
借	6595	jie4	100
插	6588	cha1	100
街	6588	jie1	100
烦	6585	fan2	100
关	6572	guan1	100
草	6565	cao3	100
诗	6557	shi1	100
直	6545	zhi2	100
踩	6524	cai3	100
嘿	6512	hei1	100
臭	6503	chou4	100
城	6500	cheng2	100
票	6459	piao4	100
剩	6453	sheng4	100
趣	6440	qu4	100
握	6411	wo4	100
李	6403	li3	100
嘛	6399	ma5	100
撞	6397	zhuang4	100
汤	6391	tang1	100
刀	6388	dao1	100
挤	6388	ji3	100
